,lyric,clean_lyric
0,"Say you're sorry, that face of an angel",face angel
1,Comes out just when you need it to,
2,As I paced back and forth all this time,paced
3,'Cause I honestly believed in you,honestly believed
4,"Holdin' on, the days drag on",holdin days drag
5,"Stupid girl, I shoulda known, I shoulda known",stupid girl shoulda shoulda
6,"That I'm not a princess, this ain't a fairytale",princess fairytale
7,"I'm not the one you'll sweep off her feet, lead her up the stairwell",sweep feet lead stairwell
8,"This ain't Hollywood, this is a small town",hollywood small town
9,I was a dreamer before you went and let me down,dreamer
10,Now it's too late for you and your white horse,white horse
11,To come around,
12,"Maybe I was naïve, got lost in your eyes",naive lost eyes
13,And never really had a chance,chance
14,"My mistake, I didn't know to bе in love",mistake be love
15,You had to fight to have the uppеr hand,fight upper
16,I had so many dreams about you and me,dreams
17,"Happy endings, now I know",happy endings
18,"That I'm not a princess, this ain't a fairytale",princess fairytale
19,"I'm not the one you'll sweep off her feet, lead her up the stairwell",sweep feet lead stairwell
20,"This ain't Hollywood, this is a small town",hollywood small town
21,I was a dreamer before you went and let me down,dreamer
22,Now it's too late for you and your white horse,white horse
23,To come around,
24,And there you are on your knees,knees
25,"Beggin' for forgiveness, beggin' for me",beggin forgiveness beggin
26,Just like I always wanted,wanted
27,But I'm so sorry,
28,"'Cause I'm not your princess, this ain't our fairytale",princess fairytale
29,I'm gonna find someone someday,find someday
30,Who might actually treat me well,treat
31,"This is a big world, that was a small town",big small town
32,There in my rearview mirror disappearing now,rearview mirror disappearing
33,And it's too late for you and your white horse,white horse
34,Now it's too late for you and your white horse,white horse
35,To catch me now,catch
36,"Oh, whoa, whoa, whoa",
37,"Try and catch me now, oh",catch
38,It's too late to catch me now,catch
39,I see your face in my mind as I drive away,face mind drive
40,'Cause none of us thought it was gonna end that way,thought
41,People are people and sometimes we change our minds,people people minds
42,But it's killing me to see you go after all this time,killing
43,"Mm-mm, mm-mm-mm-mm",
44,"Mm-mm, mm-mm-mm-mm",
45,The music starts playing like the end of a sad movie,music starts playing sad movie
46,It's the kind of ending you don't really wanna see,kind
47,'Cause it's tragedy and it'll only bring you down,tragedy bring
48,Now I don't know what to be without you around,
49,"And we know it's never simple, never easy",simple easy
50,"Never a clean break, no one here to save me",clean break save
51,You're the only thing I know like the back of my hand,
52,"And I can't breathe without you, but I have to",breathe
53,"Breathe without you, but I have to",breathe
54,"Never wanted this, never wanna see you hurt",wanted hurt
55,"Every little bump in the road, I tried to swerve",bump road swerve
56,But people are people and sometimes it doesn't work out,people people work
57,And nothin' we say is gonna save us from the fallout,save fallout
58,"And we know it's never simple, never easy",simple easy
59,"Never a clean break, no one here to save me",clean break save
60,You're the only thing I know like the back of my hand,
61,"And I can't breathe without you, but I have to",breathe
62,Breathe without you but I have to,breathe
63,"It's 2 A.M., feeling like I just lost a friend",2 feeling lost friend
64,"Hope you know it's not easy, easy for me",easy easy
