,name,score
0,Welcome to New York,14.728030303030305
1,We Were Happy (Taylor’s Version) [From the Vault],11.905158730158732
2,happiness,11.71167027417027
3,bejeweled,10.814166666666665
4,This Love,10.05469696969697
5,The Way I Loved You (Taylor’s Version),9.978571428571426
6,Superman,9.576984126984128
7,labyrinth,8.384188034188034
8,Stay Beautiful,8.377083333333333
9,London Boy,8.280000000000001
10,A Perfectly Good Heart,8.200000000000001
11,Gorgeous,8.109702380952378
12,Everything Has Changed,8.041522366522367
13,I Did Something Bad,7.900000000000002
14,the last great american dynasty,7.669065656565657
15,rain,7.55
16,Fearless (Taylor’s Version),7.453373015873017
17,Stay Stay Stay,7.347916666666666
18,This Is Why We Can’t Have Nice Things,7.324999999999999
19,the great war,6.866666666666665
20,Enchanted,6.84469696969697
21,cowboy like me,6.348611111111111
22,New Romantics,6.3306818181818185
23,ME!,6.199999999999999
24,Innocent,6.199242424242424
25,youre on your own kid,6.1499999999999995
26,Getaway Car,5.966666666666665
27,it’s time to go,5.893154761904761
28,Starlight,5.750000000000001
29,Miss Americana & The Heartbreak Prince,5.7299999999999995
30,Invisible,5.657142857142856
31,Better Than Revenge,5.63015873015873
32,Teardrops on My Guitar (Pop Version),5.592712842712842
33,Sad Beautiful Tragic,5.582021103896105
34,The Lucky One,5.555411255411254
35,You Are in Love,5.55
36,The Best Day (Taylor’s Version),5.55
37,Sparks Fly,5.495238095238094
38,Call It What You Want,5.366709956709958
39,Soon You’ll Get Better,5.275
40,Mine,5.184523809523809
41,the 1,5.037121212121211
42,the lakes,5.003571428571428
43,’tis the damn season,4.935714285714286
44,The Last Time,4.896428571428571
45,evermore,4.723015873015873
46,would've could've should've,4.619444444444444
47,It’s Nice to Have a Friend,4.4222222222222225
48,Teardrops On My Guitar,4.233189033189033
49,Superstar (Taylor’s Version),4.175396825396826
50,Fifteen (Taylor’s Version),4.1375
51,Red,4.1264430014430005
52,Today Was a Fairytale (Taylor’s Version),4.050992063492064
53,Hey Stephen (Taylor’s Version),4.020833333333334
54,​gold rush,3.911904761904762
55,A Place In This World,3.8722222222222227
56,State of Grace,3.7854978354978357
57,The Outside,3.7440476190476186
58,Holy Ground,3.736688311688311
59,dear reader,3.7214285714285715
60,Out of the Woods,3.7166666666666663
61,Mr. Perfectly Fine (Taylor’s Version) [From the Vault],3.688095238095237
62,marjorie,3.677777777777777
63,Tim McGraw,3.6720238095238087
64,I Forgot That You Existed,3.6634920634920634
65,Red (Original Demo Recording),3.616173641173641
66,State of Grace (Acoustic Version),3.5982683982683983
67,tolerate it,3.5249999999999995
68,The Archer,3.4261904761904756
69,seven,3.4227525252525255
70,cardigan,3.273030303030304
71,Cold As You,3.2645833333333334
72,closure,3.2117604617604614
73,Dress,3.1999999999999997
74,Last Kiss,3.15
75,Mary’s Song (Oh My My My),3.0916666666666677
76,Tied Together With A Smile,3.0049999999999994
77,paris,2.9993055555555554
78,Death by a Thousand Cuts,2.9500000000000006
79,mirrorball,2.894444444444445
80,You Belong With Me (Taylor’s Version),2.829444444444444
81,Ours,2.760039682539682
82,The Story of Us,2.7388888888888894
83,question,2.6904761904761907
84,Wildest Dreams,2.6208333333333336
85,sweet nothing,2.5534722222222226
86,exile,2.406428571428571
87,22,2.4050000000000007
88,lavendar haze,2.368181818181818
89,willow,2.2738095238095233
90,All Too Well,2.1416666666666666
91,Back to December,2.1130952380952377
92,Clean,2.071527777777778
93,peace,2.0625
94,Don’t You (Taylor’s Version) [From the Vault],1.9874999999999998
95,Begin Again,1.92468253968254
96,I’m Only Me When I’m with You,1.741774891774892
97,Delicate,1.7333333333333327
98,All You Had to Do Was Stay,1.6916666666666667
99,"no body, no crime",1.686363636363636
100,ivy,1.6709790209790212
101,right where you left me,1.6658008658008656
102,Girl at Home,1.6634920634920636
